MESSAGE_ID,SENTIMENT_POLARITY,SENTIMENT_TERM
"tag:search.twitter.com,2005:680682491682795520",NEGATIVE,confused
"tag:search.twitter.com,2005:771337822099865601",NEGATIVE,confusion
"tag:search.twitter.com,2005:771313054298480640",POSITIVE,glad
"tag:search.twitter.com,2005:771255253429649409",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771259335347310592",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771241854746505217",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771239811684274176",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771530480285986816",POSITIVE,available
"tag:search.twitter.com,2005:771986805885374464",POSITIVE,dedicating
"tag:search.twitter.com,2005:774453102787321856",NEGATIVE,slow
"tag:search.twitter.com,2005:774453102787321856",POSITIVE,respond
"tag:search.twitter.com,2005:775258724571033600",NEGATIVE,out of stock
"tag:search.twitter.com,2005:775258724571033600",NEGATIVE,fooling
"tag:search.twitter.com,2005:776782183444779008",POSITIVE,available
"tag:search.twitter.com,2005:681527913884336128",POSITIVE,amazing
"tag:search.twitter.com,2005:681380757563125761",POSITIVE,amazing
"tag:search.twitter.com,2005:681395895657566208",POSITIVE,amazing
"tag:search.twitter.com,2005:694782937095544832",NEGATIVE,useless
"tag:search.twitter.com,2005:746977529685123073",POSITIVE,hype
"tag:search.twitter.com,2005:768087797257244673",POSITIVE,enlighten
"tag:search.twitter.com,2005:770227031959371776",POSITIVE,I go for
"tag:search.twitter.com,2005:771299491173502976",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771386084676739072",POSITIVE,unlimited
"tag:search.twitter.com,2005:771259272399159296",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771243392768483328",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771609831924862976",NEGATIVE,wrong
"tag:search.twitter.com,2005:771609831924862976",NEGATIVE,debate
"tag:search.twitter.com,2005:771965919954436097",NEGATIVE,dilemma
"tag:search.twitter.com,2005:777256781948989440",NEGATIVE,queueing
"tag:search.twitter.com,2005:680067091899133952",NEGATIVE,pity
"tag:search.twitter.com,2005:699245109074751489",POSITIVE,lower cost
"tag:search.twitter.com,2005:699245109074751489",POSITIVE,free
"tag:search.twitter.com,2005:767747230249943040",POSITIVE,open to
"tag:search.twitter.com,2005:767747230249943040",POSITIVE,available
"tag:search.twitter.com,2005:768933363092561920",POSITIVE,good
"tag:search.twitter.com,2005:768933363092561920",NEGATIVE,bad
"tag:search.twitter.com,2005:770268974596534273",POSITIVE,free
"tag:search.twitter.com,2005:771284153862086657",POSITIVE,free
"tag:search.twitter.com,2005:771284153862086657",POSITIVE,prefer
"tag:search.twitter.com,2005:771270268622811136",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771267637527535616",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771253125239812097",POSITIVE,speedy
"tag:search.twitter.com,2005:771242249413767169",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771688410549411840",POSITIVE,endorsing
"tag:search.twitter.com,2005:771688410549411840",POSITIVE,endorsing
"tag:search.twitter.com,2005:771688410549411840",NEGATIVE,issues
"tag:search.twitter.com,2005:771409094230085632",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771941022565793792",NEGATIVE,dilemma
"tag:search.twitter.com,2005:772167307351068672",POSITIVE,unlimited
"tag:search.twitter.com,2005:772849923628818433",POSITIVE,well
"tag:search.twitter.com,2005:774941175904137216",NEGATIVE,disaster
"tag:search.twitter.com,2005:774941175904137216",NEGATIVE,waste
"tag:search.twitter.com,2005:774984451076087810",POSITIVE,free
"tag:search.twitter.com,2005:777127717737107456",POSITIVE,sufficient
"tag:search.twitter.com,2005:681397893408768000",POSITIVE,amazing
"tag:search.twitter.com,2005:681386267221725184",POSITIVE,amazing
"tag:search.twitter.com,2005:681380663191154689",POSITIVE,amazing
"tag:search.twitter.com,2005:720424208967344128",POSITIVE,quality
"tag:search.twitter.com,2005:720424208967344128",POSITIVE,quality
"tag:search.twitter.com,2005:756057523388461056",POSITIVE,Top
"tag:search.twitter.com,2005:761054540833579008",POSITIVE,available
"tag:search.twitter.com,2005:761054540833579008",NEGATIVE,not available
"tag:search.twitter.com,2005:767971585693188096",POSITIVE,free
"tag:search.twitter.com,2005:767971585693188096",POSITIVE,supported
"tag:search.twitter.com,2005:771254734166437888",POSITIVE,speedy
"tag:search.twitter.com,2005:771331634226356224",NEGATIVE,no interest
"tag:search.twitter.com,2005:771263330388291585",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771260331049967617",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771274116494012416",POSITIVE,Valid
"tag:search.twitter.com,2005:771274116494012416",POSITIVE,nifty
"tag:search.twitter.com,2005:771508570512908288",NEGATIVE,dilemma
"tag:search.twitter.com,2005:774205651849469952",POSITIVE,available
"tag:search.twitter.com,2005:774931771842527232",NEGATIVE,issue
"tag:search.twitter.com,2005:646750445071912960",NEGATIVE,prosecution
"tag:search.twitter.com,2005:646750445071912960",NEGATIVE,warns
"tag:search.twitter.com,2005:681411092468371456",POSITIVE,amazing
"tag:search.twitter.com,2005:681388126120509440",POSITIVE,amazing
"tag:search.twitter.com,2005:681391653123297280",POSITIVE,amazing
"tag:search.twitter.com,2005:680683370238599168",NEGATIVE,confused
"tag:search.twitter.com,2005:701411724180725761",NEGATIVE,delayed
"tag:search.twitter.com,2005:701411724180725761",POSITIVE,winner
"tag:search.twitter.com,2005:766176762032250880",NEGATIVE,unable
"tag:search.twitter.com,2005:768496831646961664",POSITIVE,Free offer
"tag:search.twitter.com,2005:768860490831396864",NEGATIVE,cant understand
"tag:search.twitter.com,2005:768860490831396864",POSITIVE,hopefully
"tag:search.twitter.com,2005:771264217504546816",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771262481477971968",NEGATIVE,dilemma
"tag:search.twitter.com,2005:772022185284206592",POSITIVE,dedicating
"tag:search.twitter.com,2005:771630536276094976",POSITIVE,convince
"tag:search.twitter.com,2005:772003607017390080",POSITIVE,dedicating
"tag:search.twitter.com,2005:778303241901801473",POSITIVE,validity
"tag:search.twitter.com,2005:756055949278781440",POSITIVE,Top
"tag:search.twitter.com,2005:766092125603762177",NEGATIVE,unable
"tag:search.twitter.com,2005:766684697292312577",NEGATIVE,unable
"tag:search.twitter.com,2005:767186961018880001",POSITIVE,available
"tag:search.twitter.com,2005:771379782722486272",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771342988203044865",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771685747145322497",POSITIVE,endorsing
"tag:search.twitter.com,2005:771685747145322497",POSITIVE,endorsing
"tag:search.twitter.com,2005:771685747145322497",NEGATIVE,issues
"tag:search.twitter.com,2005:771342988203044865",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771685747145322497",POSITIVE,endorsing
"tag:search.twitter.com,2005:771685747145322497",POSITIVE,endorsing
"tag:search.twitter.com,2005:771685747145322497",NEGATIVE,issues
"tag:search.twitter.com,2005:771587937242783744",NEGATIVE,dilemma
"tag:search.twitter.com,2005:681381324226039808",POSITIVE,amazing
"tag:search.twitter.com,2005:751994240234876928",NEGATIVE,switch to
"tag:search.twitter.com,2005:757161142083026944",NEGATIVE,sucks
"tag:search.twitter.com,2005:757161142083026944",NEGATIVE,slow
"tag:search.twitter.com,2005:757161142083026944",NEGATIVE,slowed
"tag:search.twitter.com,2005:769917814467600384",POSITIVE,hyped
"tag:search.twitter.com,2005:770980024040030208",NEGATIVE,issues
"tag:search.twitter.com,2005:771653495875260416",NEGATIVE,Unethical
"tag:search.twitter.com,2005:771653495875260416",NEGATIVE,unbecoming
"tag:search.twitter.com,2005:771474141148876800",POSITIVE,unlimited
"tag:search.twitter.com,2005:771601409326272513",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771619002363748352",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771744297527808000",POSITIVE,prominent
"tag:search.twitter.com,2005:771852461938085888",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771352368768290817",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771319150312615936",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771310489896747009",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771298905212542976",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771295715888926720",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771416764336910337",NEGATIVE,no interest
"tag:search.twitter.com,2005:771276037451689984",NEGATIVE,dilemma
"tag:search.twitter.com,2005:772487239234228224",POSITIVE,free
"tag:search.twitter.com,2005:772348893883498496",NEGATIVE,Shocking
"tag:search.twitter.com,2005:772815769415643137",NEGATIVE,dilemma
"tag:search.twitter.com,2005:773026605321035776",NEGATIVE,have to wait
"tag:search.twitter.com,2005:772884853364842496",NEGATIVE,issue
"tag:search.twitter.com,2005:772884853364842496",NEGATIVE,issue
"tag:search.twitter.com,2005:772884853364842496",POSITIVE,loyal
"tag:search.twitter.com,2005:773506025190100992",POSITIVE,hyped
"tag:search.twitter.com,2005:776479524972208128",NEGATIVE,warning
"tag:search.twitter.com,2005:681820627251011584",POSITIVE,amazing
"tag:search.twitter.com,2005:681380125301014530",POSITIVE,amazing
"tag:search.twitter.com,2005:681525446392066048",POSITIVE,amazing
"tag:search.twitter.com,2005:736963472836169728",NEGATIVE,prob
"tag:search.twitter.com,2005:771266918225317888",NEGATIVE,junk
"tag:search.twitter.com,2005:771238906150780928",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771244442174967808",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771244265628282881",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771680603272056832",NEGATIVE,risking
"tag:search.twitter.com,2005:772013171708157952",POSITIVE,dedicating
"tag:search.twitter.com,2005:774950636563599360",NEGATIVE,confused
